	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-1181	33.5519960576692	1.27001912977848	0.360091317498482	3.52693627439054	0.000420397933007755	0.00982861374411234
hsa-miR-12114	804.81564727484	-4.56892715699856	0.448359672538342	-10.1903169192984	2.19048949968375e-24	1.48515188078558e-21
hsa-miR-1285-3p	28.2381202605004	1.55197327460578	0.528022188350847	2.9392198071316	0.00329039629238449	0.0495753041385929
hsa-miR-1469	16.1895418058058	-2.59871063531918	0.518586010366864	-5.01114681724787	5.41066133621719e-07	6.11404730992542e-05
hsa-miR-149-3p	6.08095731539203	-2.31065417060535	0.64189609230521	-3.59973241511287	0.000318544809507147	0.00914232546477107
hsa-miR-1908-5p	8.6175578983637	-2.04414454434811	0.487084040259004	-4.19669784963832	2.70834870376214e-05	0.00166932765559157
hsa-miR-19a-5p	11.8615234570485	1.88598536758186	0.591820985453091	3.1867497333471	0.0014388121442391	0.0250131957383105
hsa-miR-210-3p	174.997547993592	-2.13721126860987	0.463699469926209	-4.60904401928682	4.04524687256177e-06	0.00030474193106632
hsa-miR-216a-3p	7.20037419839644	-1.7827121231464	0.575512283864616	-3.09760916165911	0.00195088531507614	0.0322609815517468
hsa-miR-3178	213.387933834621	-3.1245283744761	0.819508607319165	-3.81268524402359	0.000137465128540218	0.00548243277354518
hsa-miR-3184-5p	7.93069207422537	-1.51064580519076	0.47003523959152	-3.21389903979024	0.0013094570680517	0.0238555143274026
hsa-miR-3195	64.4301064491513	-2.36974035100597	0.738717911113013	-3.20790969781079	0.0013370347263146	0.0238555143274026
hsa-miR-33b-5p	7.01399128305399	-3.46125914275575	0.906572590553485	-3.81796138425337	0.000134558980611873	0.00548243277354518
hsa-miR-3652	157.563387311762	-4.36529795077049	0.671365011326563	-6.50212310311646	7.91942494535693e-11	2.684685056476e-08
hsa-miR-3665	7.51577198568876	-1.73612710174248	0.537812020016199	-3.22812997316458	0.00124602346045014	0.023466775171811
hsa-miR-378f	9.23196187863866	1.57840532167639	0.350865531213338	4.49860468259182	6.84009134802004e-06	0.000463758193395759
hsa-miR-422a	36.8405377183462	-2.14857097584525	0.416068434342214	-5.16398457201408	2.41747630586681e-07	4.09762233844424e-05
hsa-miR-425-3p	86.8115658455063	-1.22646078867794	0.356738386778277	-3.43798378345031	0.000586062795062263	0.0120409265167338
hsa-miR-431-3p	21.6899029345804	-2.15192505096855	0.454019779381042	-4.73971652491051	2.14017424299488e-06	0.000207291162392933
hsa-miR-4436b-3p	2.25953932893101	-3.31019606506896	0.859029883360288	-3.85341200485411	0.000116483138202969	0.00548243277354518
hsa-miR-4488	21.6913842470249	-3.31138859358624	0.821611460006002	-4.03035833210268	5.56918867966981e-05	0.00314659160401344
hsa-miR-4492	4.07559266030767	-2.9068383881811	0.84263883019484	-3.44968482820685	0.00056124138352475	0.0118913018134306
hsa-miR-4497	35.8413320395713	-2.5210382866657	0.705797386102908	-3.57190085469957	0.000354399585255718	0.00914232546477107
hsa-miR-4508	14.8101397655135	-2.22770067010661	0.479640881326627	-4.64451792337856	3.40871456815981e-06	0.000288888559651544
hsa-miR-4632-3p	12.5809960236132	-3.80517395576912	1.04260946959272	-3.64966372044901	0.000262583837483134	0.00866884601063655
hsa-miR-4634	69.1546705061477	-2.74113891150958	0.77100241290765	-3.55529226059362	0.000377559163736859	0.00914232546477107
hsa-miR-4635	10.7068678184895	-2.8232481622397	0.829368186241498	-3.40409507993549	0.000663836419673455	0.0132376791923118
hsa-miR-4750-5p	6.25220050668951	-2.94114475947562	1.003671392116	-2.9303861628206	0.00338541008320065	0.0498980007915226
hsa-miR-4755-3p	2.30596683934684	-2.68312263716018	0.753108080451511	-3.56273250388121	0.000367014606601593	0.00914232546477107
hsa-miR-4787-5p	4.10576038558521	-2.89974527916766	0.887576786995841	-3.26703595863784	0.00108679875165651	0.0210528443892318
