	ra1m_Cov.2	rb1m_Cov.2	rc1m._Cov.2	rd1m_Cov.2	re1m._Cov.2	rf1m_Cov.2	rg1m._Cov.2	sa1m_Cov.1	sb1m_Cov.1	sc1m_Cov.1	sd1m_Cov.1	se1m_Cov.1	sf1m_Cov.1	sg1m_Cov.1
hsa-let-7a-1-3p:Novel	1214.63285552954	1120.28766683039	1125.04171235162	34.0351378763435	1795.99935822083	981.481297091544	987.68937786372	609.558505482458	563.165133068912	542.908203912015	735.486934245296	1024.46678634217	714.372911702604	597.182808996748
hsa-let-7a-1-5p:Novel	111.341345090208	100.052755089047	135.068567160859	3.40351378763435	306.154858693979	110.950059671218	162.042788555767	77.0870241125356	87.0126385857546	38.4495895121824	107.064553719252	66.6922320222752	94.9482983908524	75.5927606324997
hsa-let-7a-2-3p:mirBase	0	0	0	0	1.63719175772182	0	0	1.42753748356547	0	0	0	1.85256200061876	0	0
hsa-let-7a-2-5p:Novel	1.44599149467803	0	4.76712589979501	0	1.63719175772182	1.42243666245151	6.17305861164825	2.85507496713095	2.41701773849318	0	0	3.70512400123751	3.0142316949477	4.53556563794998
hsa-let-7a-3-3p:Novel	1294.16238773684	1079.35699429396	1126.63075431822	28.929867194892	1853.30106974109	1001.39541036587	973.799995987512	639.536792637333	587.335310453843	562.90199045835	766.520138221891	980.005298327322	664.638088735967	651.609596652148
hsa-let-7a-3-5p:Novel	118.571302563598	103.084656758412	128.712399294465	6.80702757526871	283.234174085874	122.32955297083	134.264024803349	55.6739618590535	82.1786031087682	49.2154745755934	94.651272128614	79.6601660266065	67.8202131363231	74.0809054198498
hsa-let-7b-3p:mirBase	8.67594896806817	6.06380333873012	0	0	1.63719175772182	4.26730998735454	1.54326465291206	0	4.83403547698637	0	4.65498059648921	5.55768600185627	1.50711584747385	1.51185521264999
hsa-let-7b-5p:mirBase	108.449362100852	101.568705923729	28.6027553987701	5.10527068145153	121.152190071414	46.9404098608999	35.4950870169775	11.4202998685238	33.8382483389046	32.2976551902332	82.2379905379761	70.3973560235127	79.8771399161139	22.6778281897499
hsa-let-7c-3p:mirBase	7.22995747339014	6.06380333873012	9.53425179959003	0	4.91157527316544	5.68974664980605	9.25958791747238	0	4.83403547698637	0	0	1.85256200061876	0	4.53556563794998
hsa-let-7c-5p:mirBase	82.4215151966476	78.8294434034915	112.821979628482	0	114.603423040527	78.2340164348332	135.807289456262	41.3985870233988	43.5063192928773	61.5193432194918	52.7564467602111	55.5768600185627	30.142316949477	102.8061544602
hsa-let-7d-3p:mirBase	44.8257363350189	45.4785250404759	20.6575455657784	1.70175689381718	116.240614798249	35.5609165612878	9.25958791747238	31.4058246384404	29.0042128619182	13.8418522243857	40.3431651695732	68.544794022894	67.8202131363231	28.7252490403499
hsa-let-7d-5p:mirBase	335.470026765303	400.211020356188	116.000063561679	11.9122982567202	703.99245582038	294.444389127463	155.869729944118	329.761158703625	362.552660773977	86.1270805072885	367.743467122648	466.845624155926	263.745273307923	84.6638919083997
hsa-let-7e-3p:mirBase	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7e-5p:mirBase	5.78396597871211	4.54785250404759	3.17808393319668	0	11.4603423040527	5.68974664980605	6.17305861164825	2.85507496713095	2.41701773849318	3.07596716097459	3.10332039765948	3.70512400123751	3.0142316949477	6.04742085059998
hsa-let-7f-1-3p:mirBase	26.0278469042045	16.6754591815078	0	1.70175689381718	60.5760950357072	29.8711699114818	7.71632326456032	15.7029123192202	21.7531596464386	0	18.6199223859569	12.9679340043313	28.6352011020031	1.51185521264999
hsa-let-7f-1-5p:Novel	26.0278469042045	16.6754591815078	0	1.70175689381718	62.213286793429	29.8711699114818	10.8028525703844	15.7029123192202	21.7531596464386	0	18.6199223859569	12.9679340043313	28.6352011020031	1.51185521264999
hsa-let-7f-2-3p:mirBase	76.6375492179355	54.5742300485711	41.3150911315568	1.70175689381718	47.4785609739326	81.0788897597362	77.1632326456032	67.0942617275773	65.2594789393159	30.7596716097459	66.7213885496787	35.1986780117564	82.8913716110616	65.0097741439498
hsa-let-7f-2-5p:Novel	76.6375492179355	56.0901808832536	41.3150911315568	1.70175689381718	49.1157527316545	82.5013264221877	77.1632326456032	67.0942617275773	65.2594789393159	32.2976551902332	66.7213885496787	35.1986780117564	82.8913716110616	66.5216293565998
hsa-let-7g-3p:mirBase	2.89198298935606	3.03190166936506	0	0	0	1.42243666245151	1.54326465291206	0	2.41701773849318	0	3.10332039765948	0	4.52134754242154	1.51185521264999
hsa-let-7g-5p:mirBase	8746.80255130739	10273.5988066435	5936.66078721139	233.140694452953	10365.0610181368	8103.62166598627	5373.6475214398	6520.99122492709	6112.63786064926	4592.41897133506	5874.58551276939	7449.15180448802	7368.28937829964	6026.25487762288
hsa-let-7i-3p:mirBase	28.9198298935606	15.1595083468253	12.7123357327867	0	27.8322598812709	22.7589865992242	24.692234446593	21.4130622534821	21.7531596464386	6.15193432194918	13.9649417894676	20.3781820068063	9.04269508484309	13.60669691385
