""	"ra1m_Cov.2"	"rb1m_Cov.2"	"rc1m._Cov.2"	"rd1m_Cov.2"	"re1m._Cov.2"	"rf1m_Cov.2"	"rg1m._Cov.2"	"sa1m_Cov.1"	"sb1m_Cov.1"	"sc1m_Cov.1"	"sd1m_Cov.1"	"se1m_Cov.1"	"sf1m_Cov.1"	"sg1m_Cov.1"
"hsa-miR-149-3p:mirBase"	2.76212893486774	1.33110373014537	2.06284147488236	0	1.39900247748088	3.45378839817972	2.03087608058393	4.06202776777715	5.55223371156615	3.73377392420757	2.4995220740123	4.84741720787399	3.32807458168294	4.01065025229343
"hsa-miR-1908-5p:mirBase"	2.76212893486774	2.47192943248709	2.87895440216012	0	3.19943031114402	3.62988036023945	3.35890088028084	4.39132263499898	3.95439235754968	5.24456766510261	2.84932693807151	4.84741720787399	5.09409029978929	5.53467348406741
"hsa-miR-19a-5p:mirBase"	5.32343385596941	4.74260797327759	5.9397812299122	0	5.73850132552983	5.49491274042895	6.13846450946416	2.74634500293804	3.41522742037104	1.34368273567776	1.35143622012811	3.35935389624939	2.81320931204426	5.03337716344295
"hsa-miR-210-3p:mirBase"	6.77411973591881	7.13409232375	7.97767277954226	2.61005525952568	5.2725984508431	7.13338672188829	7.50431819233593	8.90885071098709	8.24377958501033	9.93992225338858	10.0339331328412	8.61430709244998	8.90768037364072	7.09873713724878
"hsa-miR-216a-3p:mirBase"	3.47533661422131	3.53750181264009	2.06284147488236	0	2.56354262041277	3.45378839817972	2.49308212298952	4.4862678698443	3.95439235754968	5.81678934594671	2.4995220740123	3.98372292685129	5.0289860236228	3.33215384322336
"hsa-miR-3184-5p:mirBase"	3.65167536992616	2.82044517789744	2.52785251763126	1.43389786568385	3.81737092361228	3.25317543759114	2.03087608058393	3.45848206336792	5.01886694661316	4.76265289075639	3.36596699725362	4.64865560439411	4.36404750516496	4.2586894565476
"hsa-miR-33b-5p:mirBase"	1.29041938726384	0	1.37241835052679	1.43389786568385	0	0	2.03087608058393	3.45848206336792	4.16342821960059	3.11934254731502	2.4995220740123	4.14347978886622	5.21609707041352	5.8313362017563
"hsa-miR-425-3p:mirBase"	6.75493252698691	6.72247432531411	7.23237242744112	2.61005525952568	6.97069922787068	7.01144308010827	6.54837310733426	7.67037527799283	7.67263388143295	8.50154320898037	6.71371276698218	7.27391349033001	8.81416753344089	6.6977481705225
"hsa-miR-431-3p:mirBase"	3.95046047713875	3.10093631230767	4.88765956179333	0	4.58018677483244	4.05717325567785	4.49861501529691	6.08946132299294	4.50799499579117	6.86231213076621	6.94931496020199	4.41806726687546	6.44137729380483	5.75261299639068
"hsa-miR-4632-3p:mirBase"	2.41629240929302	1.33110373014537	2.52785251763126	0	0	0	1.34668159713509	3.0246188651485	7.21371745514138	2.02714242812543	1.35143622012811	6.923821037922	1.32602866099617	2.81709537001625
"hsa-miR-4750-5p:mirBase"	1.29041938726384	2.47192943248709	0	0	0	1.27645894511954	2.49308212298952	3.45848206336792	6.10174454141346	3.11934254731502	1.35143622012811	5.61960703991795	0	2.46873074272883
"hsa-miR-4755-3p:mirBase"	1.29041938726384	1.33110373014537	0	0	1.39900247748088	1.27645894511954	0	2.40125157306137	3.7098517980847	3.35443826433574	2.84932693807151	3.59876679845265	3.32807458168294	1.32875330737766
"hsa-miR-4787-5p:mirBase"	1.29041938726384	0	2.06284147488236	0	1.39900247748088	0	2.03087608058393	3.25779889019289	3.04457828563336	3.35443826433574	0	3.35935389624939	5.74816747569109	3.33215384322336
"hsa-miR-5002-3p:mirBase"	0	1.33110373014537	2.06284147488236	0	3.43604861401083	3.25317543759114	1.34668159713509	4.06202776777715	5.62469618391176	5.12249211269055	2.03679180791499	5.10207505773609	5.57654001343285	2.00852648232632
"hsa-miR-5197-3p:mirBase"	1.96050540456268	0	1.37241835052679	0	3.19943031114402	1.94293606722619	2.49308212298952	3.63462810045942	3.95439235754968	4.16332316568956	3.36596699725362	3.07214834348464	3.86433896338976	2.81709537001625
"hsa-miR-582-3p:mirBase"	3.27440316041859	1.33110373014537	3.3970159445572	1.43389786568385	2.9162410227575	3.02009025351197	2.03087608058393	2.74634500293804	1.77273773713497	8.17294213418952	5.61769419876644	0	0	7.6037559014851
"hsa-miR-6752-3p:mirBase"	1.29041938726384	1.33110373014537	0	0	0	1.27645894511954	0	2.40125157306137	5.12260018219079	3.35443826433574	1.35143622012811	4.64865560439411	2.81320931204426	2.46873074272883
"hsa-miR-6789-5p:mirBase"	0	2.01146045459942	1.37241835052679	0	0	1.27645894511954	0	2.40125157306137	4.90709317721796	4.03384899004193	2.03679180791499	3.98372292685129	4.25439677529033	1.32875330737766
"hsa-miR-6847-3p:mirBase"	0	2.01146045459942	2.06284147488236	0	2.09571635839686	3.62988036023945	2.49308212298952	4.57534862375712	6.41946508376205	6.00129168861527	4.60139362464002	6.49061787769088	5.15638304441981	4.01065025229343
"hsa-miR-7-1-3p:mirBase"	5.72943568086931	5.22430350006653	5.65134740515809	0	5.49838419761985	5.2472953691403	6.07382837359877	4.06202776777715	4.34597409767051	4.58914947446208	3.90351476194859	4.14347978886622	4.25439677529033	4.56546485306834
"hsa-miR-7846-3p:mirBase"	4.40897544297418	4.01431139963628	4.80806133124816	0	4.36781143230601	5.8195412226779	4.49861501529691	6.65717728331176	5.4759382886121	6.283536218762	3.74559033402082	6.73600995259895	7.9463792839949	6.4950468521203
"hsa-miR-92a-1-5p:mirBase"	5.68957040402623	4.65850932453158	6.1153829792443	1.43389786568385	7.14769837114139	6.02258197764681	5.74068470417148	3.93313587702009	4.65364347870686	2.83833348794275	3.56822932349305	4.28729645455554	4.81393944320957	4.36835753203437
"hsa-miR-939-5p:mirBase"	6.50225855221479	7.13409232375	7.34945622694836	5.32698339572604	7.8570108162455	8.19978006432639	6.99489309100074	8.91739496382576	9.79448980262021	8.81899492120032	9.08355753495097	9.7738138416035	9.20894007507112	8.13285037740143
